,count,mean,median,std,min,max
cost,12.0,3895.0833333333335,3458.0,2477.8717942597186,1113.0,9211.0
impressions,12.0,97250.0,101845.5,35212.589917915335,44939.0,149599.0
clicks,12.0,2363.0,2246.5,1217.0718212915037,753.0,5023.0
conversions,12.0,164.08333333333334,160.0,93.14256749085179,8.0,352.0
ctr,12.0,0.02374902947081543,0.02292491920117705,0.005483840475490597,0.0157295596804358,0.0335764276499174
conv_rate,12.0,0.06594768500680014,0.06644326020255885,0.02037096392494507,0.0106241699867197,0.0917721518987341
cpc,12.0,1.80310393478731,1.6028384661497999,1.0955255159790223,0.7174966945791097,4.132646048109966
cpa,12.0,37.02161419788832,22.504926108374384,44.208619642531595,10.443181818181818,170.0
cost_per_lead,12.0,3.508650311021746,2.7968881412952062,2.9054139256291505,0.9308692676249144,9.990238611713666
n_leads,12.0,1250.0,1308.5,226.1395385798134,922.0,1461.0
