lead_id,date,channel,device,company_size,sector,region,status
14046,2025-09-01,Facebook Ads,Mobile,1-10,Tech,PAC,SQL
10527,2025-09-01,Emailing,Mobile,10-50,Education,Hauts-de-France,MQL
14462,2025-09-01,Instagram Ads,Desktop,10-50,Media,Nouvelle-Aquitaine,MQL
13234,2025-09-01,Facebook Ads,Mobile,1000+,Health,Bretagne,SQL
10498,2025-09-01,Instagram Ads,Mobile,100-500,Retail,Occitanie,SQL
10496,2025-09-01,LinkedIn,Mobile,100-500,Energy,IdF,SQL
13259,2025-09-01,Instagram Ads,Desktop,1-10,Energy,Occitanie,Client
13902,2025-09-01,Instagram Ads,Desktop,1-10,Media,Bretagne,SQL
13263,2025-09-01,Emailing,Mobile,100-500,Health,PAC,MQL
14461,2025-09-01,Facebook Ads,Mobile,1-10,Health,PAC,MQL
10474,2025-09-01,Facebook Ads,Mobile,500-1000,Media,IdF,Client
13279,2025-09-01,Instagram Ads,Mobile,1000+,Retail,Bretagne,MQL
13280,2025-09-01,Facebook Ads,Mobile,1-10,Industry,IdF,SQL
13283,2025-09-01,Instagram Ads,Mobile,1000+,Retail,Hauts-de-France,SQL
12120,2025-09-01,Instagram Ads,Tablet,1-10,Travel,Hauts-de-France,MQL
11587,2025-09-01,Facebook Ads,Mobile,50-100,Health,IdF,MQL
12115,2025-09-01,Emailing,Tablet,10-50,Health,IdF,MQL
13209,2025-09-01,LinkedIn,Mobile,10-50,Tech,Occitanie,MQL
13196,2025-09-01,Instagram Ads,Desktop,10-50,Retail,Grand Est,Client
12236,2025-09-01,Instagram Ads,Mobile,10-50,Tech,Hauts-de-France,MQL
10662,2025-09-01,LinkedIn,Desktop,500-1000,Energy,Nouvelle-Aquitaine,SQL
14260,2025-09-01,Emailing,Mobile,10-50,Retail,ARA,MQL
13945,2025-09-01,Emailing,Desktop,100-500,Energy,Pays de la Loire,SQL
11498,2025-09-01,Facebook Ads,Mobile,1000+,Education,Grand Est,SQL
11501,2025-09-01,Facebook Ads,Mobile,10-50,Education,IdF,SQL
10540,2025-09-01,Instagram Ads,Mobile,1-10,Education,IdF,MQL
13941,2025-09-01,Instagram Ads,Mobile,50-100,Travel,Grand Est,MQL
14797,2025-09-01,Instagram Ads,Desktop,500-1000,Media,Hauts-de-France,MQL
13126,2025-09-01,LinkedIn,Mobile,100-500,Education,Hauts-de-France,Client
13931,2025-09-01,Emailing,Mobile,1-10,Health,ARA,SQL
10601,2025-09-01,Emailing,Mobile,50-100,Industry,Occitanie,SQL
12192,2025-09-01,LinkedIn,Mobile,10-50,Finance,IdF,SQL
14468,2025-09-01,Instagram Ads,Mobile,500-1000,Tech,Hauts-de-France,MQL
10617,2025-09-01,Emailing,Mobile,50-100,Retail,Grand Est,MQL
10451,2025-09-01,Facebook Ads,Mobile,500-1000,Finance,Hauts-de-France,MQL
14863,2025-09-01,Facebook Ads,Desktop,10-50,Health,Occitanie,MQL
10432,2025-09-01,LinkedIn,Desktop,100-500,Media,Pays de la Loire,Client
13510,2025-09-01,Facebook Ads,Mobile,1-10,Retail,IdF,SQL
13511,2025-09-01,Emailing,Desktop,1-10,Education,Nouvelle-Aquitaine,SQL
11981,2025-09-01,Instagram Ads,Mobile,1-10,Industry,Hauts-de-France,SQL
10227,2025-09-01,Facebook Ads,Desktop,1-10,Industry,ARA,SQL
11973,2025-09-01,Facebook Ads,Mobile,10-50,Media,Hauts-de-France,SQL
13528,2025-09-01,Instagram Ads,Desktop,50-100,Finance,Occitanie,MQL
14424,2025-09-01,Facebook Ads,Tablet,1-10,Travel,Bretagne,MQL
11969,2025-09-01,Emailing,Mobile,1000+,Travel,PAC,SQL
13532,2025-09-01,Facebook Ads,Mobile,1-10,Retail,Nouvelle-Aquitaine,MQL
10205,2025-09-01,Emailing,Mobile,10-50,Finance,IdF,Client
13799,2025-09-01,Facebook Ads,Mobile,1-10,Tech,IdF,MQL
11965,2025-09-01,LinkedIn,Mobile,1-10,Tech,Grand Est,MQL
13796,2025-09-01,Facebook Ads,Mobile,1-10,Travel,IdF,MQL
11749,2025-09-01,Emailing,Mobile,1-10,Education,IdF,SQL
13529,2025-09-01,Facebook Ads,Desktop,1-10,Media,ARA,MQL
14916,2025-09-01,Facebook Ads,Mobile,100-500,Education,Hauts-de-France,SQL
13486,2025-09-01,Facebook Ads,Mobile,10-50,Retail,Bretagne,SQL
13481,2025-09-01,Facebook Ads,Mobile,1-10,Education,PAC,SQL
12086,2025-09-01,Emailing,Desktop,1-10,Finance,Occitanie,MQL
10411,2025-09-01,Instagram Ads,Mobile,1-10,Media,Bretagne,MQL
13343,2025-09-01,Emailing,Mobile,1-10,Health,IdF,MQL
13868,2025-09-01,LinkedIn,Desktop,1000+,Finance,ARA,Client
14877,2025-09-01,LinkedIn,Mobile,10-50,Tech,IdF,MQL
12081,2025-09-01,Emailing,Desktop,100-500,Media,Hauts-de-France,SQL
13359,2025-09-01,LinkedIn,Mobile,100-500,Education,Hauts-de-France,Client
14445,2025-09-01,Instagram Ads,Mobile,100-500,Education,Occitanie,SQL
10358,2025-09-01,Instagram Ads,Desktop,10-50,Tech,Occitanie,SQL
13844,2025-09-01,Emailing,Mobile,1-10,Travel,Pays de la Loire,Client
11672,2025-09-01,Instagram Ads,Mobile,10-50,Media,Bretagne,MQL
10313,2025-09-01,Instagram Ads,Tablet,10-50,Tech,Hauts-de-France,MQL
14896,2025-09-01,Emailing,Desktop,1-10,Industry,Bretagne,MQL
13440,2025-09-01,Facebook Ads,Mobile,10-50,Health,IdF,Client
11687,2025-09-01,Facebook Ads,Mobile,10-50,Retail,PAC,MQL
13065,2025-09-01,Emailing,Mobile,1-10,Health,ARA,MQL
10179,2025-09-01,Emailing,Tablet,10-50,Retail,Grand Est,SQL
13054,2025-09-01,LinkedIn,Desktop,10-50,Education,IdF,SQL
10689,2025-09-01,Emailing,Desktop,500-1000,Finance,Hauts-de-France,MQL
11059,2025-09-01,LinkedIn,Desktop,1-10,Health,Grand Est,SQL
12670,2025-09-01,LinkedIn,Desktop,1-10,Health,Occitanie,SQL
14632,2025-09-01,Instagram Ads,Mobile,10-50,Industry,Bretagne,MQL
14095,2025-09-01,Facebook Ads,Desktop,1-10,Industry,Occitanie,MQL
12687,2025-09-01,Facebook Ads,Mobile,50-100,Finance,ARA,MQL
11035,2025-09-01,LinkedIn,Mobile,1-10,Retail,Nouvelle-Aquitaine,MQL
12661,2025-09-01,Instagram Ads,Desktop,1-10,Energy,Hauts-de-France,MQL
14092,2025-09-01,Facebook Ads,Mobile,50-100,Tech,IdF,SQL
12731,2025-09-01,Facebook Ads,Mobile,100-500,Media,Grand Est,MQL
14539,2025-09-01,Emailing,Mobile,1-10,Finance,IdF,MQL
14079,2025-09-01,Emailing,Mobile,1-10,Education,Hauts-de-France,SQL
14535,2025-09-01,LinkedIn,Mobile,10-50,Health,PAC,MQL
10978,2025-09-01,Facebook Ads,Mobile,50-100,Education,IdF,MQL
10977,2025-09-01,Emailing,Mobile,10-50,Finance,ARA,SQL
12431,2025-09-01,Instagram Ads,Mobile,1-10,Energy,Nouvelle-Aquitaine,MQL
11328,2025-09-01,LinkedIn,Mobile,1-10,Health,Grand Est,MQL
12645,2025-09-01,Facebook Ads,Desktop,50-100,Industry,IdF,MQL
11096,2025-09-01,Emailing,Mobile,500-1000,Media,IdF,SQL
12524,2025-09-01,Instagram Ads,Mobile,1-10,Retail,Bretagne,MQL
11210,2025-09-01,Facebook Ads,Mobile,1-10,Health,Bretagne,MQL
14576,2025-09-01,Facebook Ads,Desktop,1-10,Travel,ARA,MQL
14151,2025-09-01,Emailing,Mobile,1-10,Travel,IdF,MQL
14160,2025-09-01,Facebook Ads,Tablet,50-100,Travel,PAC,Client
12514,2025-09-01,LinkedIn,Mobile,1-10,Media,IdF,Client
14615,2025-09-01,Facebook Ads,Desktop,50-100,Travel,Occitanie,MQL
12554,2025-09-01,Emailing,Desktop,10-50,Industry,ARA,SQL
14596,2025-09-01,LinkedIn,Mobile,100-500,Tech,Grand Est,Client
12591,2025-09-01,Instagram Ads,Desktop,1-10,Tech,PAC,MQL
12492,2025-09-01,Instagram Ads,Mobile,500-1000,Retail,Occitanie,SQL
11141,2025-09-01,Facebook Ads,Mobile,1-10,Health,ARA,SQL
12486,2025-09-01,Facebook Ads,Mobile,100-500,Retail,Hauts-de-France,MQL
14120,2025-09-01,Facebook Ads,Desktop,10-50,Energy,Pays de la Loire,MQL
12557,2025-09-01,Facebook Ads,Mobile,10-50,Education,IdF,SQL
12802,2025-09-01,Instagram Ads,Tablet,10-50,Finance,Bretagne,MQL
12807,2025-09-01,Emailing,Desktop,1-10,Retail,Occitanie,MQL
12820,2025-09-01,Instagram Ads,Mobile,1-10,Energy,PAC,MQL
10780,2025-09-01,LinkedIn,Desktop,100-500,Industry,Grand Est,SQL
13993,2025-09-01,Emailing,Mobile,10-50,Education,Occitanie,SQL
12306,2025-09-01,Emailing,Desktop,10-50,Media,Hauts-de-France,MQL
11426,2025-09-01,Emailing,Tablet,100-500,Retail,IdF,SQL
10756,2025-09-01,LinkedIn,Desktop,500-1000,Tech,Pays de la Loire,MQL
14241,2025-09-01,Facebook Ads,Desktop,500-1000,Finance,Nouvelle-Aquitaine,SQL
14002,2025-09-01,Instagram Ads,Desktop,100-500,Industry,IdF,MQL
14242,2025-09-01,LinkedIn,Desktop,100-500,Media,IdF,MQL
11449,2025-09-01,LinkedIn,Mobile,1000+,Energy,IdF,SQL
13030,2025-09-01,Emailing,Mobile,1-10,Energy,Grand Est,MQL
13971,2025-09-01,Facebook Ads,Mobile,1-10,Retail,Occitanie,SQL
10702,2025-09-01,Facebook Ads,Mobile,100-500,Finance,IdF,MQL
13041,2025-09-01,Instagram Ads,Mobile,50-100,Energy,IdF,MQL
12253,2025-09-01,Instagram Ads,Tablet,1-10,Travel,Nouvelle-Aquitaine,MQL
14491,2025-09-01,LinkedIn,Mobile,50-100,Tech,PAC,SQL
11404,2025-09-01,LinkedIn,Mobile,10-50,Industry,ARA,MQL
14219,2025-09-01,Emailing,Mobile,50-100,Tech,Bretagne,SQL
12934,2025-09-01,LinkedIn,Mobile,1000+,Education,PAC,SQL
